categoria;descricao;titulo;valor_varejo;valor_atacado;valor_varejo_promocional;estoque_geral;estoque_maletas;peso;valor_custo;data_registro;cor_banho;imagem;tamanho_anel;cod_barras;genero;cor_pedra;variacao;tempo_garantia;fornecedor;codigo_fornecedor;preco_aluguel;loc_estoque;destaque;novos
Brinco;;BRINCO ARGOLA GROSSA PEQUNA;83.7;0;;2;0;4.4;19.34;21/07/2025 21:16;Ouro;https://natika.semijoias.net/assets/photos/natika-152-6883a622a2f93.jpeg;0;20688929;;;;12;TANK BRUTOS;BF11-942;0;;;
Brinco;;TRIO PONTO DE LUZ;44.7;0;;2;0;2.1;7.61;21/07/2025 20:59;Ouro;https://natika.semijoias.net/assets/photos/natika-142-6884ed4799360.jpeg;0;20770860;;;;12;SOPHIA BRUTOS;2-439;0;;;
Pingente;;PINGENTE LETRA CRAVEJADA F;35.7;0;;1;0;0.5;6.69;21/07/2025 21:25;Ouro;https://natika.semijoias.net/assets/photos/natika-158-6884f54ceca0f.jpeg;0;20413736;;;;12;TANK BRUTOS;;0;;;
Brinco;O;BRINCO CORAÇÃO ESTICADO VAZADO ;56.7;0;;1;0;1.5;13.8;21/07/2025 21:12;Ouro;https://natika.semijoias.net/assets/photos/natika-149-688202e636858.jpg;0;20058456;;;;12;TANK BRUTOS;BF13-359;0;;;
Brinco;;BRINCO ARGOLINHA CRAVEJADA;44.7;0;;2;0;0.9;10.32;21/07/2025 21:23;Ouro;https://natika.semijoias.net/assets/photos/natika-157-6883a406b8663.jpeg;0;20346003;;;;12;TANK BRUTOS;BF10647;0;;;
Anel;REGULAVEL;ANEL X COM ZIRCONIA;119.7;0;;1;0;0;38;20/08/2025 12:19;RodioBranco;https://natika.semijoias.net/assets/photos/natika-304-68a66a0148ea6.jpeg;0;20425722;;Cristal;;12;GAZIN;143578;0;;sim;sim
Anel;Regulável ;Anel MENINAS micro zircônia coração ;95.7;0;;0;0;0;31;20/08/2025 18:45;Ouro;https://natika.semijoias.net/assets/photos/natika-323-68a669f239630.jpeg;0;20297473;;;;12;GAZIN;140014;0;;sim;sim
Anel;Regulável ;Anel MENINOS micro zircônia coração ;95.7;0;;0;0;0;31;20/08/2025 18:44;Ouro;https://natika.semijoias.net/assets/photos/natika-322-68a669e09adc7.jpeg;0;20520915;;;;0;GAZIN;140018;0;;sim;sim
Anel;REGULAVEL;ANEL V;62.7;0;;1;0;0;17;20/08/2025 18:42;RodioBranco;https://natika.semijoias.net/assets/photos/natika-320-68a669d2e1faa.jpeg;0;20525170;;;;12;GAZIN;143503;0;;;sim
Anel;REGULAVEL;ANEL TORCIDO;134.1;0;;1;0;0;44;20/08/2025 18:43;RodioBranco;https://natika.semijoias.net/assets/photos/natika-321-68a669c1ed951.jpeg;0;20336288;;;;12;GAZIN;108579;0;;;sim
Anel;;ANEL FINO ZIRCONIA;95.7;0;;1;0;0;29;20/08/2025 18:41;RodioBranco;https://natika.semijoias.net/assets/photos/natika-319-68a669b396599.jpeg;20;20799595;;;;12;GAZIN;145391;0;;;sim
Anel;;ANEL CORAÇÃO / QUADRADO;164.7;0;;1;0;0;55;20/08/2025 18:40;Ouro;https://natika.semijoias.net/assets/photos/natika-318-68a669a28a875.jpeg;19;20201555;;Cristal;;12;GAZIN;60128;0;;;sim
Anel;;ANEL NOZINHO;77.7;0;;1;0;0;22;20/08/2025 18:39;Ouro;https://natika.semijoias.net/assets/photos/natika-317-68a66992803c5.jpeg;12;20515829;;;;12;GAZIN;37654;0;;;sim
Anel;REGULAVEL;ANEL CRISTAL CORES;119.7;0;;1;0;0;38;20/08/2025 18:38;RodioBranco;https://natika.semijoias.net/assets/photos/natika-316-68a669812973c.jpeg;0;20681593;;Colorido;;12;GAZIN;141768;0;;;sim
